song_name,artist,album,genre,track_price_inr,album_price_inr,country,currency,is_streamable,duration_min,release_year,era,is_recent,price_category
Channa Mereya,Pritam & Arijit Singh,Ae Dil Hai Mushkil (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.82,2016,2015s,NO,Premium
"Apna Bana Le (From ""Bhediya"")","Arijit Singh, Sachin-Jigar & Amitabh Bhattacharya","Apna Bana Le (From ""Bhediya"") - Single",Bollywood,18.0,18.0,IND,INR,True,4.36,2022,2020s,YES,Premium
Kabira,"Pritam, Tochi Raina & Rekha Bhardwaj",Yeh Jawaani Hai Deewani (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,3.72,2013,2010s,NO,Premium
Bulleya,"Pritam, Amit Mishra & Shilpa Rao",Ae Dil Hai Mushkil (Deluxe Edition) [Original Motion Picture Soundtrack],Bollywood,18.0,160.0,IND,INR,True,5.82,2016,2015s,NO,Premium
Phir Se Ud Chala,Mohit Chauhan,Rockstar (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,4.48,2011,2010s,NO,Premium
Chahun Main Ya Naa,Palak Muchhal & Arijit Singh,Aashiqui 2 (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,5.08,2013,2010s,NO,Premium
Soch Na Sake,"Amaal Mallik, Arijit Singh & Tulsi Kumar",Airlift (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,4.69,2015,2010s,NO,Premium
Aise Kyun (Ghazal Version),"Mismatched - Cast, Rekha Bhardwaj, Anurag Saikia & Raj Shekhar",Mismatched: Season 2 (Soundtrack from the Netflix Series),Soundtrack,15.0,120.0,IND,INR,True,5.48,2022,2020s,YES,Budget
Humsafar,Akhil Sachdeva & Mansheel Gujral,Badrinath Ki Dulhania (Original Motion Picture Soundtrack),Bollywood,18.0,60.0,IND,INR,True,4.47,2017,2015s,NO,Premium
Kaise Hua,Vishal Mishra,Kabir Singh (Original Motion Picture Soundtrack),Bollywood,18.0,100.0,IND,INR,True,3.91,2019,2015s,NO,Premium
Jeena Jeena,"Sachin-Jigar, Atif Aslam & Priya Saraiya",Badlapur (Original Motion Picture Soundtrack),Bollywood,18.0,144.0,IND,INR,True,3.82,2015,2010s,NO,Premium
Namo Namo,Amit Trivedi,Kedarnath (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,5.37,2018,2015s,NO,Premium
Pehle Bhi Main,Vishal Mishra & Raj Shekhar,ANIMAL (Original Motion Picture Soundtrack),Bollywood,18.0,110.0,IND,INR,True,4.17,2023,2020s,YES,Premium
Tu Jaane Na,Atif Aslam & Pritam,Ajab Prem Ki Ghazab Kahani (Original Motion Picture Soundtrack),Bollywood,18.0,250.0,IND,INR,True,5.7,2009,2000s,NO,Premium
Tera Yaar Hoon Main,Arijit Singh,Sonu Ke Titu Ki Sweety (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,4.41,2018,2015s,NO,Premium
Bom Diggy Diggy,Zack Knight & Jasmin Walia,Sonu Ke Titu Ki Sweety (Original Motion Picture Soundtrack),Bollywood,18.0,90.0,IND,INR,True,3.98,2018,2015s,NO,Premium
Kal Ho Naa Ho,Shankar Ehsaan Loy & Sonu Nigam,Kal Ho Naa Ho (Original Motion Picture Soundtrack),Bollywood,18.0,120.0,IND,INR,True,5.35,2003,2000s,NO,Premium
